Timestamps,wc2-absolute,wc3-absolute,wc1-absolute,wc2-relative,wc3-relative,wc1-relative
1566552607,27,0,0,1.0,0,0
1566552608,29,0,0,1.0,0,0
1566552609,27,0,0,1.0,0,0
1566552610,29,0,0,1.0,0,0
1566552611,29,0,0,1.0,0,0
1566552612,29,0,0,1.0,0,0
1566552613,29,0,0,1.0,0,0
1566552614,29,0,0,1.0,0,0
1566552615,29,0,0,1.0,0,0
1566552616,29,0,0,1.0,0,0
1566552617,29,0,0,1.0,0,0
1566552618,27,0,0,1.0,0,0
1566552619,32,0,0,1.0,0,0
1566552620,28,0,0,1.0,0,0
1566552621,29,0,0,1.0,0,0
1566552622,30,0,0,1.0,0,0
1566552623,28,0,0,1.0,0,0
1566552624,30,0,0,1.0,0,0
1566552625,28,0,0,1.0,0,0
1566552626,28,0,0,1.0,0,0
1566552627,30,0,0,1.0,0,0
1566552628,28,0,0,1.0,0,0
1566552629,30,0,0,1.0,0,0
1566552630,29,0,0,1.0,0,0
1566552631,29,0,0,1.0,0,0
1566552632,28,0,0,1.0,0,0
1566552633,29,0,0,1.0,0,0
1566552634,29,0,0,1.0,0,0
1566552635,29,0,0,1.0,0,0
1566552636,29,0,0,1.0,0,0
1566552637,30,0,0,1.0,0,0
1566552638,29,0,0,1.0,0,0
1566552639,30,0,0,1.0,0,0
1566552640,27,0,0,1.0,0,0
1566552641,30,0,0,1.0,0,0
1566552642,27,0,0,1.0,0,0
1566552643,29,0,0,1.0,0,0
1566552644,32,0,0,1.0,0,0
1566552645,28,0,0,1.0,0,0
1566552646,29,0,0,1.0,0,0
1566552647,29,0,0,1.0,0,0
1566552648,29,0,0,1.0,0,0
1566552649,30,0,0,1.0,0,0
1566552650,28,0,0,1.0,0,0
1566552651,27,0,0,1.0,0,0
1566552652,30,0,0,1.0,0,0
1566552653,30,0,0,1.0,0,0
1566552654,28,0,0,1.0,0,0
1566552655,29,0,0,1.0,0,0
1566552656,30,0,0,1.0,0,0
1566552657,27,0,0,1.0,0,0
1566552658,31,0,0,1.0,0,0
1566552659,28,0,0,1.0,0,0
1566552660,30,0,0,1.0,0,0
1566552661,29,0,0,1.0,0,0
1566552662,28,0,0,1.0,0,0
1566552663,30,0,0,1.0,0,0
1566552664,29,0,0,1.0,0,0
1566552665,29,0,0,1.0,0,0
1566552666,29,0,0,1.0,0,0
1566552667,28,0,0,1.0,0,0
1566552668,30,0,0,1.0,0,0
1566552669,29,0,0,1.0,0,0
1566552670,29,0,0,1.0,0,0
1566552671,27,0,0,1.0,0,0
1566552672,31,0,0,1.0,0,0
1566552673,29,0,0,1.0,0,0
1566552674,28,0,0,1.0,0,0
1566552675,30,0,0,1.0,0,0
1566552676,29,0,0,1.0,0,0
1566552677,28,0,0,1.0,0,0
1566552678,31,0,0,1.0,0,0
1566552679,28,0,0,1.0,0,0
1566552680,28,0,0,1.0,0,0
1566552681,31,0,0,1.0,0,0
1566552682,27,0,0,1.0,0,0
1566552683,29,0,0,1.0,0,0
1566552684,30,0,0,1.0,0,0
1566552685,29,0,0,1.0,0,0
1566552686,29,0,0,1.0,0,0
1566552687,29,0,0,1.0,0,0
1566552688,28,0,0,1.0,0,0
1566552689,30,0,0,1.0,0,0
1566552690,28,0,0,1.0,0,0
1566552691,30,0,0,1.0,0,0
1566552692,29,0,0,1.0,0,0
1566552693,29,0,0,1.0,0,0
1566552694,29,0,0,1.0,0,0
1566552695,29,0,0,1.0,0,0
1566552696,29,0,0,1.0,0,0
1566552697,29,0,0,1.0,0,0
1566552698,30,0,0,1.0,0,0
1566552699,29,0,0,1.0,0,0
1566552700,29,0,0,1.0,0,0
1566552701,28,0,0,1.0,0,0
1566552702,28,0,0,1.0,0,0
1566552703,30,0,0,1.0,0,0
1566552704,28,0,0,1.0,0,0
1566552705,30,0,0,1.0,0,0
1566552706,28,0,0,1.0,0,0
1566552707,31,0,0,1.0,0,0
1566552708,26,0,0,1.0,0,0
1566552709,32,0,0,1.0,0,0
1566552710,28,0,0,1.0,0,0
1566552711,30,0,0,1.0,0,0
1566552712,27,0,0,1.0,0,0
1566552713,30,0,0,1.0,0,0
1566552714,30,0,0,1.0,0,0
1566552715,27,0,0,1.0,0,0
1566552716,31,0,0,1.0,0,0
1566552717,28,0,0,1.0,0,0
1566552718,28,0,0,1.0,0,0
1566552719,31,0,0,1.0,0,0
1566552720,30,0,0,1.0,0,0
1566552721,31,0,0,1.0,0,0
1566552722,29,0,0,1.0,0,0
1566552723,30,0,0,1.0,0,0
1566552724,31,0,0,1.0,0,0
1566552725,30,0,0,1.0,0,0
1566552726,28,0,0,1.0,0,0
1566552727,33,0,0,1.0,0,0
1566552728,28,0,0,1.0,0,0
1566552729,29,0,0,1.0,0,0
1566552730,31,0,0,1.0,0,0
1566552731,30,0,0,1.0,0,0
1566552732,30,0,0,1.0,0,0
1566552733,32,0,0,1.0,0,0
1566552734,29,0,0,1.0,0,0
1566552735,30,0,0,1.0,0,0
1566552736,30,0,0,1.0,0,0
1566552737,29,0,0,1.0,0,0
1566552738,30,0,0,1.0,0,0
1566552739,30,0,0,1.0,0,0
1566552740,30,0,0,1.0,0,0
1566552741,29,0,0,1.0,0,0
1566552742,32,0,0,1.0,0,0
1566552743,29,0,0,1.0,0,0
1566552744,30,0,0,1.0,0,0
1566552745,30,0,0,1.0,0,0
1566552746,31,0,0,1.0,0,0
1566552747,30,0,0,1.0,0,0
1566552748,29,0,0,1.0,0,0
1566552749,30,0,0,1.0,0,0
1566552750,32,0,0,1.0,0,0
1566552751,27,0,0,1.0,0,0
1566552752,32,0,0,1.0,0,0
1566552753,29,0,0,1.0,0,0
1566552754,31,0,0,1.0,0,0
1566552755,30,0,0,1.0,0,0
1566552756,30,0,0,1.0,0,0
1566552757,29,0,0,1.0,0,0
1566552758,31,0,0,1.0,0,0
1566552759,30,0,0,1.0,0,0
1566552760,29,0,0,1.0,0,0
1566552761,30,0,0,1.0,0,0
1566552762,30,0,0,1.0,0,0
1566552763,31,0,0,1.0,0,0
1566552764,29,0,0,1.0,0,0
1566552765,31,0,0,1.0,0,0
1566552766,30,0,0,1.0,0,0
1566552767,29,0,0,1.0,0,0
1566552768,32,0,0,1.0,0,0
1566552769,28,0,0,1.0,0,0
1566552770,31,0,0,1.0,0,0
1566552771,30,0,0,1.0,0,0
1566552772,30,0,0,1.0,0,0
1566552773,30,0,0,1.0,0,0
1566552774,30,0,0,1.0,0,0
1566552775,30,0,0,1.0,0,0
1566552776,29,0,0,1.0,0,0
1566552777,31,0,0,1.0,0,0
1566552778,30,0,0,1.0,0,0
1566552779,29,0,0,1.0,0,0
1566552780,29,0,0,1.0,0,0
1566552781,31,0,0,1.0,0,0
1566552782,31,0,0,1.0,0,0
1566552783,31,0,0,1.0,0,0
1566552784,29,0,0,1.0,0,0
1566552785,28,0,0,1.0,0,0
1566552786,31,0,0,1.0,0,0
1566552787,31,0,0,1.0,0,0
1566552788,30,0,0,1.0,0,0
1566552789,30,0,0,1.0,0,0
1566552790,29,0,0,1.0,0,0
1566552791,30,0,0,1.0,0,0
1566552792,31,0,0,1.0,0,0
1566552793,29,0,0,1.0,0,0
1566552794,31,0,0,1.0,0,0
1566552795,30,0,0,1.0,0,0
1566552796,29,0,0,1.0,0,0
1566552797,31,0,0,1.0,0,0
1566552798,29,0,0,1.0,0,0
1566552799,31,0,0,1.0,0,0
1566552800,28,0,0,1.0,0,0
1566552801,31,0,0,1.0,0,0
1566552802,31,0,0,1.0,0,0
1566552803,30,0,0,1.0,0,0
1566552804,30,0,0,1.0,0,0
1566552805,30,0,0,1.0,0,0
1566552806,30,0,0,1.0,0,0
1566552807,30,0,0,1.0,0,0
1566552808,30,0,0,1.0,0,0
1566552809,30,0,0,1.0,0,0
1566552810,29,0,0,1.0,0,0
1566552811,31,0,0,1.0,0,0
1566552812,30,0,0,1.0,0,0
1566552813,29,0,0,1.0,0,0
1566552814,31,0,0,1.0,0,0
1566552815,29,0,0,1.0,0,0
1566552816,31,0,0,1.0,0,0
1566552817,29,0,0,1.0,0,0
1566552818,30,0,0,1.0,0,0
1566552819,31,0,0,1.0,0,0
1566552820,30,0,0,1.0,0,0
1566552821,29,0,0,1.0,0,0
1566552822,31,0,0,1.0,0,0
1566552823,27,0,0,1.0,0,0
1566552824,32,0,0,1.0,0,0
1566552825,27,0,0,1.0,0,0
1566552826,35,0,0,1.0,0,0
1566552827,29,0,0,1.0,0,0
1566552828,29,0,0,1.0,0,0
1566552829,31,0,0,1.0,0,0
1566552830,31,0,0,1.0,0,0
1566552831,29,0,0,1.0,0,0
1566552832,32,0,0,1.0,0,0
1566552833,31,0,0,1.0,0,0
1566552834,30,0,0,1.0,0,0
1566552835,31,0,0,1.0,0,0
1566552836,32,0,0,1.0,0,0
1566552837,30,0,0,1.0,0,0
1566552838,30,0,0,1.0,0,0
1566552839,33,0,0,1.0,0,0
1566552840,30,0,0,1.0,0,0
1566552841,31,0,0,1.0,0,0
1566552842,32,0,0,1.0,0,0
1566552843,31,0,0,1.0,0,0
1566552844,31,0,0,1.0,0,0
1566552845,30,0,0,1.0,0,0
1566552846,31,0,0,1.0,0,0
1566552847,32,0,0,1.0,0,0
1566552848,30,0,0,1.0,0,0
1566552849,32,0,0,1.0,0,0
1566552850,31,0,0,1.0,0,0
1566552851,30,0,0,1.0,0,0
1566552852,29,0,0,1.0,0,0
1566552853,34,0,0,1.0,0,0
1566552854,31,0,0,1.0,0,0
1566552855,31,0,0,1.0,0,0
1566552856,30,0,0,1.0,0,0
1566552857,31,0,0,1.0,0,0
1566552858,32,0,0,1.0,0,0
1566552859,31,0,0,1.0,0,0
1566552860,29,0,0,1.0,0,0
1566552861,32,0,0,1.0,0,0
1566552862,30,0,0,1.0,0,0
1566552863,33,0,0,1.0,0,0
1566552864,31,0,0,1.0,0,0
1566552865,30,0,0,1.0,0,0
1566552866,32,0,0,1.0,0,0
1566552867,30,0,0,1.0,0,0
1566552868,31,0,0,1.0,0,0
1566552869,32,0,0,1.0,0,0
1566552870,31,0,0,1.0,0,0
1566552871,29,0,0,1.0,0,0
1566552872,33,0,0,1.0,0,0
1566552873,31,0,0,1.0,0,0
1566552874,31,0,0,1.0,0,0
1566552875,31,0,0,1.0,0,0
1566552876,29,0,0,1.0,0,0
1566552877,32,0,0,1.0,0,0
1566552878,30,1,0,0.967741935483871,0.03225806451612903,0
1566552879,32,0,0,1.0,0,0
1566552880,30,0,0,1.0,0,0
1566552881,31,0,0,1.0,0,0
1566552882,31,0,0,1.0,0,0
1566552883,30,0,0,1.0,0,0
1566552884,32,0,0,1.0,0,0
1566552885,31,0,0,1.0,0,0
1566552886,31,0,0,1.0,0,0
1566552887,32,0,0,1.0,0,0
1566552888,30,1,0,0.967741935483871,0.03225806451612903,0
1566552889,31,0,0,1.0,0,0
1566552890,29,0,0,1.0,0,0
1566552891,33,0,0,1.0,0,0
1566552892,30,0,0,1.0,0,0
1566552893,31,0,0,1.0,0,0
1566552894,32,0,0,1.0,0,0
1566552895,31,0,0,1.0,0,0
1566552896,30,0,0,1.0,0,0
1566552897,31,1,0,0.96875,0.03125,0
1566552898,28,0,0,1.0,0,0
1566552899,33,0,0,1.0,0,0
1566552900,31,1,0,0.96875,0.03125,0
1566552901,28,2,0,0.9333333333333333,0.06666666666666667,0
1566552902,31,0,0,1.0,0,0
1566552903,30,0,0,1.0,0,0
1566552904,30,2,0,0.9375,0.0625,0
1566552905,30,1,0,0.967741935483871,0.03225806451612903,0
1566552906,29,3,0,0.90625,0.09375,0
1566552907,29,1,0,0.9666666666666667,0.03333333333333333,0
1566552908,30,1,0,0.967741935483871,0.03225806451612903,0
1566552909,31,1,0,0.96875,0.03125,0
1566552910,30,1,0,0.967741935483871,0.03225806451612903,0
1566552911,30,1,0,0.967741935483871,0.03225806451612903,0
1566552912,31,0,0,1.0,0,0
1566552913,31,0,0,1.0,0,0
1566552914,29,0,0,1.0,0,0
1566552915,31,1,0,0.96875,0.03125,0
1566552916,32,0,0,1.0,0,0
1566552917,29,2,0,0.9354838709677419,0.06451612903225806,0
1566552918,27,1,0,0.9642857142857143,0.03571428571428571,0
1566552919,34,0,0,1.0,0,0
1566552920,30,0,0,1.0,0,0
1566552921,30,1,0,0.967741935483871,0.03225806451612903,0
1566552922,30,0,0,1.0,0,0
1566552923,31,2,0,0.9393939393939394,0.06060606060606061,0
1566552924,30,0,0,1.0,0,0
1566552925,31,1,0,0.96875,0.03125,0
1566552926,30,1,0,0.967741935483871,0.03225806451612903,0
1566552927,32,0,0,1.0,0,0
1566552928,25,4,0,0.8620689655172413,0.13793103448275862,0
1566552929,30,1,0,0.967741935483871,0.03225806451612903,0
1566552930,25,4,0,0.8620689655172413,0.13793103448275862,0
1566552931,29,4,0,0.8787878787878788,0.12121212121212122,0
1566552932,29,2,0,0.9354838709677419,0.06451612903225806,0
1566552933,28,4,0,0.875,0.125,0
1566552934,30,0,0,1.0,0,0
1566552935,30,2,0,0.9375,0.0625,0
1566552936,29,2,0,0.9354838709677419,0.06451612903225806,0
1566552937,27,2,0,0.9310344827586207,0.06896551724137931,0
1566552938,29,2,0,0.9354838709677419,0.06451612903225806,0
1566552939,27,4,0,0.8709677419354839,0.12903225806451613,0
1566552940,32,1,0,0.9696969696969697,0.030303030303030304,0
1566552941,34,2,0,0.9444444444444444,0.05555555555555555,0
1566552942,38,1,0,0.9743589743589743,0.02564102564102564,0
1566552943,38,1,0,0.9743589743589743,0.02564102564102564,0
1566552944,36,2,0,0.9473684210526315,0.05263157894736842,0
1566552945,35,5,0,0.875,0.125,0
1566552946,33,5,0,0.868421052631579,0.13157894736842105,0
1566552947,38,2,0,0.95,0.05,0
1566552948,36,4,0,0.9,0.1,0
1566552949,34,4,0,0.8947368421052632,0.10526315789473684,0
1566552950,38,3,0,0.926829268292683,0.07317073170731707,0
1566552951,36,4,0,0.9,0.1,0
1566552952,34,6,0,0.85,0.15,0
1566552953,37,3,0,0.925,0.075,0
1566552954,36,4,0,0.9,0.1,0
1566552955,35,4,0,0.8974358974358975,0.10256410256410256,0
1566552956,36,5,0,0.8780487804878049,0.12195121951219512,0
1566552957,35,5,0,0.875,0.125,0
1566552958,36,5,0,0.8780487804878049,0.12195121951219512,0
1566552959,34,6,0,0.85,0.15,0
1566552960,33,4,0,0.8918918918918919,0.10810810810810811,0
1566552961,40,3,0,0.9302325581395349,0.06976744186046512,0
1566552962,34,5,0,0.8717948717948718,0.1282051282051282,0
1566552963,32,7,0,0.8205128205128205,0.1794871794871795,0
1566552964,34,7,0,0.8292682926829268,0.17073170731707318,0
1566552965,31,10,0,0.7560975609756098,0.24390243902439024,0
1566552966,34,6,0,0.85,0.15,0
1566552967,33,6,0,0.8461538461538461,0.15384615384615385,0
1566552968,39,2,0,0.9512195121951219,0.04878048780487805,0
1566552969,31,8,0,0.7948717948717948,0.20512820512820512,0
1566552970,35,4,0,0.8974358974358975,0.10256410256410256,0
1566552971,36,6,0,0.8571428571428571,0.14285714285714285,0
1566552972,32,5,0,0.8648648648648649,0.13513513513513514,0
1566552973,36,6,0,0.8571428571428571,0.14285714285714285,0
1566552974,29,10,0,0.7435897435897436,0.2564102564102564,0
1566552975,35,5,0,0.875,0.125,0
1566552976,38,4,0,0.9047619047619048,0.09523809523809523,0
1566552977,34,5,0,0.8717948717948718,0.1282051282051282,0
1566552978,36,5,0,0.8780487804878049,0.12195121951219512,0
1566552979,33,6,0,0.8461538461538461,0.15384615384615385,0
1566552980,32,8,0,0.8,0.2,0
1566552981,31,8,0,0.7948717948717948,0.20512820512820512,0
1566552982,33,8,0,0.8048780487804879,0.1951219512195122,0
1566552983,36,4,0,0.9,0.1,0
1566552984,33,7,0,0.825,0.175,0
1566552985,34,7,0,0.8292682926829268,0.17073170731707318,0
1566552986,36,3,0,0.9230769230769231,0.07692307692307693,0
1566552987,32,7,0,0.8205128205128205,0.1794871794871795,0
1566552988,32,9,0,0.7804878048780488,0.21951219512195122,0
1566552989,29,9,0,0.7631578947368421,0.23684210526315788,0
1566552990,34,8,0,0.8095238095238095,0.19047619047619047,0
1566552991,32,8,0,0.8,0.2,0
1566552992,32,8,0,0.8,0.2,0
1566552993,31,9,0,0.775,0.225,0
1566552994,32,9,0,0.7804878048780488,0.21951219512195122,0
1566552995,26,13,0,0.6666666666666666,0.3333333333333333,0
1566552996,35,6,0,0.8536585365853658,0.14634146341463414,0
1566552997,28,11,0,0.717948717948718,0.28205128205128205,0
1566552998,29,11,0,0.725,0.275,0
1566552999,27,13,0,0.675,0.325,0
1566553000,32,9,0,0.7804878048780488,0.21951219512195122,0
1566553001,31,9,0,0.775,0.225,0
1566553002,32,7,0,0.8205128205128205,0.1794871794871795,0
1566553003,29,11,0,0.725,0.275,0
1566553004,29,11,0,0.725,0.275,0
1566553005,28,13,0,0.6829268292682927,0.3170731707317073,0
1566553006,28,9,0,0.7567567567567568,0.24324324324324326,0
1566553007,29,12,0,0.7073170731707317,0.2926829268292683,0
1566553008,32,9,0,0.7804878048780488,0.21951219512195122,0
1566553009,33,7,0,0.825,0.175,0
1566553010,29,10,0,0.7435897435897436,0.2564102564102564,0
1566553011,25,16,0,0.6097560975609756,0.3902439024390244,0
1566553012,26,13,0,0.6666666666666666,0.3333333333333333,0
1566553013,23,15,0,0.6052631578947368,0.39473684210526316,0
1566553014,28,13,0,0.6829268292682927,0.3170731707317073,0
1566553015,27,15,0,0.6428571428571429,0.35714285714285715,0
1566553016,28,11,0,0.717948717948718,0.28205128205128205,0
1566553017,22,18,0,0.55,0.45,0
1566553018,30,11,0,0.7317073170731707,0.2682926829268293,0
1566553019,23,18,0,0.5609756097560976,0.43902439024390244,0
1566553020,24,15,0,0.6153846153846154,0.38461538461538464,0
1566553021,31,9,0,0.775,0.225,0
1566553022,25,15,0,0.625,0.375,0
1566553023,21,19,0,0.525,0.475,0
1566553024,28,11,0,0.717948717948718,0.28205128205128205,0
1566553025,26,14,0,0.65,0.35,0
1566553026,32,8,0,0.8,0.2,0
1566553027,26,15,0,0.6341463414634146,0.36585365853658536,0
1566553028,25,14,0,0.6410256410256411,0.358974358974359,0
1566553029,24,17,0,0.5853658536585366,0.4146341463414634,0
1566553030,31,9,0,0.775,0.225,0
1566553031,24,15,0,0.6153846153846154,0.38461538461538464,0
1566553032,28,13,0,0.6829268292682927,0.3170731707317073,0
1566553033,22,18,0,0.55,0.45,0
1566553034,28,11,0,0.717948717948718,0.28205128205128205,0
1566553035,29,11,0,0.725,0.275,0
1566553036,26,15,0,0.6341463414634146,0.36585365853658536,0
1566553037,29,11,0,0.725,0.275,0
1566553038,25,16,0,0.6097560975609756,0.3902439024390244,0
1566553039,26,14,0,0.65,0.35,0
1566553040,16,24,0,0.4,0.6,0
1566553041,28,12,0,0.7,0.3,0
1566553042,25,15,0,0.625,0.375,0
1566553043,22,16,0,0.5789473684210527,0.42105263157894735,0
1566553044,24,15,0,0.6153846153846154,0.38461538461538464,0
1566553045,18,24,0,0.42857142857142855,0.5714285714285714,0
1566553046,27,13,0,0.675,0.325,0
1566553047,19,22,0,0.4634146341463415,0.5365853658536586,0
1566553048,20,20,0,0.5,0.5,0
1566553049,29,12,0,0.7073170731707317,0.2926829268292683,0
1566553050,25,17,0,0.5952380952380952,0.40476190476190477,0
1566553051,24,17,0,0.5853658536585366,0.4146341463414634,0
1566553052,27,13,0,0.675,0.325,0
1566553053,29,13,0,0.6904761904761905,0.30952380952380953,0
1566553054,27,15,0,0.6428571428571429,0.35714285714285715,0
1566553055,24,16,0,0.6,0.4,0
1566553056,24,16,0,0.6,0.4,0
1566553057,23,19,0,0.5476190476190477,0.4523809523809524,0
1566553058,23,18,0,0.5609756097560976,0.43902439024390244,0
1566553059,24,17,0,0.5853658536585366,0.4146341463414634,0
1566553060,22,19,0,0.5365853658536586,0.4634146341463415,0
1566553061,20,20,0,0.5,0.5,0
1566553062,22,19,0,0.5365853658536586,0.4634146341463415,0
1566553063,21,22,0,0.4883720930232558,0.5116279069767442,0
1566553064,20,20,0,0.5,0.5,0
1566553065,20,20,0,0.5,0.5,0
1566553066,26,16,0,0.6190476190476191,0.38095238095238093,0
1566553067,23,18,0,0.5609756097560976,0.43902439024390244,0
1566553068,18,22,0,0.45,0.55,0
1566553069,24,18,0,0.5714285714285714,0.42857142857142855,0
1566553070,19,22,0,0.4634146341463415,0.5365853658536586,0
1566553071,24,17,0,0.5853658536585366,0.4146341463414634,0
1566553072,24,16,0,0.6,0.4,0
1566553073,26,16,0,0.6190476190476191,0.38095238095238093,0
1566553074,19,20,0,0.48717948717948717,0.5128205128205128,0
1566553075,25,18,0,0.5813953488372093,0.4186046511627907,0
1566553076,21,20,0,0.5121951219512195,0.4878048780487805,0
1566553077,20,21,0,0.4878048780487805,0.5121951219512195,0
1566553078,23,18,0,0.5609756097560976,0.43902439024390244,0
1566553079,19,22,0,0.4634146341463415,0.5365853658536586,0
1566553080,26,15,0,0.6341463414634146,0.36585365853658536,0
1566553081,26,16,0,0.6190476190476191,0.38095238095238093,0
1566553082,24,15,0,0.6153846153846154,0.38461538461538464,0
1566553083,26,16,0,0.6190476190476191,0.38095238095238093,0
1566553084,18,23,0,0.43902439024390244,0.5609756097560976,0
1566553085,24,17,0,0.5853658536585366,0.4146341463414634,0
1566553086,22,19,0,0.5365853658536586,0.4634146341463415,0
1566553087,20,21,0,0.4878048780487805,0.5121951219512195,0
1566553088,25,16,0,0.6097560975609756,0.3902439024390244,0
1566553089,17,24,0,0.4146341463414634,0.5853658536585366,0
1566553090,19,21,0,0.475,0.525,0
1566553091,18,24,0,0.42857142857142855,0.5714285714285714,0
1566553092,17,24,0,0.4146341463414634,0.5853658536585366,0
1566553093,14,28,0,0.3333333333333333,0.6666666666666666,0
1566553094,24,16,0,0.6,0.4,0
1566553095,22,16,0,0.5789473684210527,0.42105263157894735,0
1566553096,24,21,0,0.5333333333333333,0.4666666666666667,0
1566553097,24,17,0,0.5853658536585366,0.4146341463414634,0
1566553098,17,21,0,0.4473684210526316,0.5526315789473685,0
1566553099,19,24,0,0.4418604651162791,0.5581395348837209,0
1566553100,13,28,0,0.3170731707317073,0.6829268292682927,0
1566553101,21,21,0,0.5,0.5,0
1566553102,19,21,0,0.475,0.525,0
1566553103,22,18,0,0.55,0.45,0
1566553104,19,23,0,0.4523809523809524,0.5476190476190477,0
1566553105,23,18,0,0.5609756097560976,0.43902439024390244,0
1566553106,16,25,0,0.3902439024390244,0.6097560975609756,0
1566553107,18,21,0,0.46153846153846156,0.5384615384615384,0
1566553108,23,20,0,0.5348837209302325,0.46511627906976744,0
1566553109,25,17,0,0.5952380952380952,0.40476190476190477,0
1566553110,15,25,0,0.375,0.625,0
1566553111,15,27,0,0.35714285714285715,0.6428571428571429,0
1566553112,19,21,0,0.475,0.525,0
1566553113,20,21,0,0.4878048780487805,0.5121951219512195,0
1566553114,24,17,0,0.5853658536585366,0.4146341463414634,0
1566553115,16,24,0,0.4,0.6,0
1566553116,19,23,0,0.4523809523809524,0.5476190476190477,0
1566553117,25,15,0,0.625,0.375,0
1566553118,20,22,0,0.47619047619047616,0.5238095238095238,0
1566553119,23,17,0,0.575,0.425,0
1566553120,18,23,0,0.43902439024390244,0.5609756097560976,0
1566553121,14,27,0,0.34146341463414637,0.6585365853658537,0
1566553122,15,27,0,0.35714285714285715,0.6428571428571429,0
1566553123,21,20,0,0.5121951219512195,0.4878048780487805,0
1566553124,19,22,0,0.4634146341463415,0.5365853658536586,0
1566553125,16,25,0,0.3902439024390244,0.6097560975609756,0
1566553126,27,14,0,0.6585365853658537,0.34146341463414637,0
1566553127,22,19,0,0.5365853658536586,0.4634146341463415,0
1566553128,19,21,0,0.475,0.525,0
1566553129,13,27,0,0.325,0.675,0
1566553130,20,23,0,0.46511627906976744,0.5348837209302325,0
1566553131,15,25,0,0.375,0.625,0
1566553132,27,14,0,0.6585365853658537,0.34146341463414637,0
1566553133,20,20,0,0.5,0.5,0
1566553134,21,22,0,0.4883720930232558,0.5116279069767442,0
1566553135,16,24,0,0.4,0.6,0
1566553136,15,25,0,0.375,0.625,0
1566553137,20,22,0,0.47619047619047616,0.5238095238095238,0
1566553138,16,25,0,0.3902439024390244,0.6097560975609756,0
1566553139,15,27,0,0.35714285714285715,0.6428571428571429,0
1566553140,19,20,0,0.48717948717948717,0.5128205128205128,0
1566553141,19,24,0,0.4418604651162791,0.5581395348837209,0
1566553142,27,15,0,0.6428571428571429,0.35714285714285715,0
1566553143,18,22,0,0.45,0.55,0
1566553144,19,23,0,0.4523809523809524,0.5476190476190477,0
1566553145,18,22,0,0.45,0.55,0
1566553146,19,22,0,0.4634146341463415,0.5365853658536586,0
1566553147,25,16,0,0.6097560975609756,0.3902439024390244,0
1566553148,19,22,0,0.4634146341463415,0.5365853658536586,0
1566553149,22,19,0,0.5365853658536586,0.4634146341463415,0
1566553150,19,23,0,0.4523809523809524,0.5476190476190477,0
1566553151,21,17,0,0.5526315789473685,0.4473684210526316,0
1566553152,20,23,0,0.46511627906976744,0.5348837209302325,0
1566553153,18,25,0,0.4186046511627907,0.5813953488372093,0
1566553154,20,21,0,0.4878048780487805,0.5121951219512195,0
1566553155,24,18,0,0.5714285714285714,0.42857142857142855,0
1566553156,18,25,0,0.4186046511627907,0.5813953488372093,0
1566553157,18,24,0,0.42857142857142855,0.5714285714285714,0
1566553158,21,20,0,0.5121951219512195,0.4878048780487805,0
